FAZENDA,ESTADO,MUNICÍPIO,Nº ANIMAL,LOTE,RAÇA,CATEGORIA,ECC,CICLICIDADE,PROTOCOLO,IMPLANTE P4,EMPRESA,GnRH NA IA,PGF NO D0,Dose PGF retirada,Marca PGF retirada,Dose CE,eCG,DOSE eCG,TOURO,RAÇA TOURO,EMPRESA TOURO,INSEMINADOR,Nº da IATF,DG,VAZIA COM OU SEM CL,PERDA
Fazenda Verde Vale,SP,Niterói,300102,LT0902BV,Nelore,Multípara,2.3,0,8 dias,Fertilcare 600,Bayer,1,0,2,Primer monodose,0.6 mg,Folligon,200 UI,Touro5102,Hereford,CRV Lagoa,Carlos Silva,IATF 4102,1,1,0
Fazenda Esperança,MG,Florianópolis,300103,LT0903DF,Hereford,Secundípara,2.7,1,9 dias,CIDR,Agener,0,1,1+1,Estrumate,1.0 mg,eCGEN,400 UI,Touro5103,Brangus,Alta Genetics,Joana Mendes,IATF 4103,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300104,LT0904PA,Brangus,Primípara precoce,3.1,0,7 dias,Primer monodose,Globalgen,1,0,2,Ciosin,0.5 mg,Novormon,300 UI,Touro5104,Charolais,CRV Lagoa,Ricardo Santos,IATF 4104,1,1,0
Fazenda do Campo,RS,Campinas,300105,LT0905ES,Charolais,Primípara,3.3,1,8 dias,Fertilcare 600,MSD,0,1,1,Repro one,0.5 mg,Folligon,300 UI,Touro5105,Senepol,Alta Genetics,Mariana Oliveira,IATF 4105,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300106,LT0906SN,Angus,Primípara,2.1,1,7 dias,Primer monodose,Bayer,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5106,Brahman,CRV Lagoa,Carlos Silva,IATF 4106,1,1,0
Fazenda Verde Vale,SP,Niterói,300107,LT0907BV,Nelore,Multípara,2.3,0,8 dias,Repro one,Globalgen,0,1,1,Ciosin,1.0 mg,eCGEN,400 UI,Touro5107,Angus,Alta Genetics,Mariana Oliveira,IATF 4107,0,0,1
Fazenda Esperança,MG,Florianópolis,300108,LT0908DF,Hereford,Secundípara,2.7,1,7 dias,Fertilcare 600,MSD,1,0,1+1,Lutalise,0.5 mg,Novormon,300 UI,Touro5108,Nelore,ABS Pecplan,Ricardo Santos,IATF 4108,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300109,LT0909PA,Brangus,Primípara precoce,3.1,0,8 dias,Primer monodose,Agener,0,1,2,Primer monodose,0.6 mg,Folligon,200 UI,Touro5109,Hereford,CRV Lagoa,Joana Mendes,IATF 4109,0,0,1
Fazenda do Campo,RS,Campinas,300110,LT0910ES,Charolais,Primípara,3.3,1,9 dias,Fertilcare 600,MSD,1,0,1,Repro one,1.0 mg,Novormon,400 UI,Touro5110,Brangus,Alta Genetics,Carlos Silva,IATF 4110,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300111,LT0911SN,Angus,Primípara,2.1,1,7 dias,Primer monodose,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5111,Charolais,Genex,Mariana Oliveira,IATF 4111,0,0,1
Fazenda Verde Vale,SP,Niterói,300112,LT0912BV,Nelore,Multípara,2.3,0,8 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5112,Senepol,CRV Lagoa,Ricardo Santos,IATF 4112,1,1,0
Fazenda Esperança,MG,Florianópolis,300113,LT0913DF,Hereford,Secundípara,2.7,1,9 dias,CIDR,Agener,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5113,Brahman,Alta Genetics,Joana Mendes,IATF 4113,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300114,LT0914PA,Brangus,Primípara precoce,3.1,0,7 dias,Primer monodose,MSD,1,0,2,Lutalise,0.5 mg,Novormon,300 UI,Touro5114,Angus,CRV Lagoa,Carlos Silva,IATF 4114,1,1,0
Fazenda do Campo,RS,Campinas,300115,LT0915ES,Charolais,Primípara,3.3,1,8 dias,Fertilcare 600,Bayer,0,1,1,Repro one,0.5 mg,Folligon,300 UI,Touro5115,Hereford,Alta Genetics,Mariana Oliveira,IATF 4115,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300116,LT0916SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5116,Nelore,CRV Lagoa,Joana Mendes,IATF 4116,1,1,0
Fazenda Verde Vale,SP,Niterói,300117,LT0917BV,Nelore,Multípara,2.3,0,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5117,Hereford,Alta Genetics,Carlos Silva,IATF 4117,0,0,1
Fazenda Esperança,MG,Florianópolis,300118,LT0918DF,Hereford,Secundípara,2.7,1,8 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5118,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4118,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300119,LT0919PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,Agener,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5119,Charolais,Alta Genetics,Joana Mendes,IATF 4119,0,0,1
Fazenda do Campo,RS,Campinas,300120,LT0920ES,Charolais,Primípara,3.3,1,8 dias,CIDR,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5120,Senepol,CRV Lagoa,Carlos Silva,IATF 4120,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300121,LT0921SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5121,Nelore,Genex,Mariana Oliveira,IATF 4121,0,0,1
Fazenda Verde Vale,SP,Niterói,300122,LT0922BV,Nelore,Multípara,2.3,0,7 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5122,Hereford,CRV Lagoa,Ricardo Santos,IATF 4122,1,1,0
Fazenda Esperança,MG,Florianópolis,300123,LT0923DF,Hereford,Secundípara,2.7,1,8 dias,Repro one,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5123,Brangus,Alta Genetics,Joana Mendes,IATF 4123,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300124,LT0924PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,Bayer,1,0,2,Lutalise,0.5 mg,Novormon,300 UI,Touro5124,Brahman,CRV Lagoa,Carlos Silva,IATF 4124,1,1,0
Fazenda do Campo,RS,Campinas,300125,LT0925ES,Charolais,Primípara,3.3,1,8 dias,CIDR,Agener,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5125,Angus,Alta Genetics,Mariana Oliveira,IATF 4125,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300126,LT0926SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5126,Nelore,CRV Lagoa,Joana Mendes,IATF 4126,1,1,0
Fazenda Verde Vale,SP,Niterói,300127,LT0927BV,Nelore,Multípara,2.3,0,7 dias,Repro one,MSD,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5127,Hereford,Alta Genetics,Carlos Silva,IATF 4127,0,0,1
Fazenda Esperança,MG,Florianópolis,300128,LT0928DF,Hereford,Secundípara,2.7,1,8 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5128,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4128,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300129,LT0929PA,Brangus,Primípara precoce,3.1,0,9 dias,Fertilcare 600,Agener,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5129,Charolais,Alta Genetics,Joana Mendes,IATF 4129,0,0,1
Fazenda do Campo,RS,Campinas,300130,LT0930ES,Charolais,Primípara,3.3,1,7 dias,CIDR,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5130,Senepol,CRV Lagoa,Carlos Silva,IATF 4130,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300131,LT0931SN,Angus,Primípara,2.1,1,8 dias,Primer monodose,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5131,Nelore,Genex,Mariana Oliveira,IATF 4131,0,0,1
Fazenda Verde Vale,SP,Niterói,300132,LT0932BV,Nelore,Multípara,2.3,0,9 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5132,Hereford,CRV Lagoa,Carlos Silva,IATF 4132,1,1,0
Fazenda Esperança,MG,Florianópolis,300133,LT0933DF,Hereford,Secundípara,2.7,1,7 dias,CIDR,Agener,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5133,Brangus,Alta Genetics,Mariana Oliveira,IATF 4133,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300134,LT0934PA,Brangus,Primípara precoce,3.1,0,8 dias,Primer monodose,MSD,1,0,2,Lutalise,0.5 mg,Novormon,300 UI,Touro5134,Brahman,CRV Lagoa,Joana Mendes,IATF 4134,1,1,0
Fazenda do Campo,RS,Campinas,300135,LT0935ES,Charolais,Primípara,3.3,1,9 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5135,Angus,Alta Genetics,Mariana Oliveira,IATF 4135,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300136,LT0936SN,Angus,Primípara,2.1,1,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5136,Nelore,CRV Lagoa,Joana Mendes,IATF 4136,1,1,0
Fazenda Verde Vale,SP,Niterói,300137,LT0937BV,Nelore,Multípara,2.3,0,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5137,Hereford,Alta Genetics,Carlos Silva,IATF 4137,0,0,1
Fazenda Esperança,MG,Florianópolis,300138,LT0938DF,Hereford,Secundípara,2.7,1,7 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5138,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4138,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300139,LT0939PA,Brangus,Primípara precoce,3.1,0,8 dias,Fertilcare 600,Agener,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5139,Charolais,Alta Genetics,Joana Mendes,IATF 4139,0,0,1
Fazenda do Campo,RS,Campinas,300140,LT0940ES,Charolais,Primípara,3.3,1,9 dias,CIDR,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5140,Senepol,CRV Lagoa,Carlos Silva,IATF 4140,1,1,0
Fazenda Monte Alegre,BA,Curitiba,300141,LT0941SN,Angus,Primípara,2.1,1,7 dias,Primer monodose,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5141,Nelore,Genex,Mariana Oliveira,IATF 4141,0,0,1
Fazenda Verde Vale,SP,Niterói,300142,LT0942BV,Nelore,Multípara,2.3,0,8 dias,Primer monodose,Globalgen,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5142,Hereford,CRV Lagoa,Carlos Silva,IATF 4142,1,1,0
Fazenda Esperança,MG,Florianópolis,300143,LT0943DF,Hereford,Secundípara,2.7,1,9 dias,CIDR,Agener,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5143,Brangus,Alta Genetics,Mariana Oliveira,IATF 4143,0,0,1
Fazenda Santa Luzia,RJ,Salvador,300144,LT0944PA,Brangus,Primípara precoce,3.1,0,7 dias,Primer monodose,MSD,1,0,2,Lutalise,0.5 mg,Novormon,300 UI,Touro5144,Brahman,CRV Lagoa,Joana Mendes,IATF 4144,1,1,0
Fazenda do Campo,RS,Campinas,300145,LT0945ES,Charolais,Primípara,3.3,1,8 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5145,Angus,Alta Genetics,Mariana Oliveira,IATF 4145,0,0,1
Fazenda Monte Alegre,BA,Curitiba,300146,LT0946SN,Angus,Primípara,2.1,1,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,Novormon,200 UI,Touro5146,Nelore,CRV Lagoa,Joana Mendes,IATF 4146,1,1,0
Fazenda Verde Vale,SP,Niterói,300147,LT0947BV,Nelore,Multípara,2.3,0,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Folligon,400 UI,Touro5147,Hereford,Alta Genetics,Carlos Silva,IATF 4147,0,0,1
Fazenda Esperança,MG,Florianópolis,300148,LT0948DF,Hereford,Secundípara,2.7,1,8 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5148,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4148,1,1,0
Fazenda Santa Luzia,RJ,Salvador,300149,LT0949PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,Agener,0,1,1,Estrumate,0.6 mg,Folligon,200 UI,Touro5149,Charolais,Alta Genetics,Joana Mendes,IATF 4149,0,0,1
Fazenda do Campo,RS,Campinas,300150,LT0950ES,Charolais,Primípara,3.3,1,8 dias,CIDR,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5150,Senepol,CRV Lagoa,Carlos Silva,IATF 4150,1,1,0
Fazenda Verde Vale,BA,Salvador,300151,LT1001SN,Angus,Secundípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5151,Nelore,Alta Genetics,Joana Mendes,IATF 4151,0,0,1
Fazenda Esperança,SP,Campinas,300152,LT1002BV,Nelore,Primípara precoce,3.9,0,8 dias,Fertilcare 600,MSD,1,0,2,Estrumate,0.6 mg,Lutalise,200 UI,Touro5152,Hereford,ABS Pecplan,Carlos Silva,IATF 4152,1,1,0
Fazenda Santa Luzia,MG,Uberlândia,300153,LT1003DF,Hereford,Multípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5153,Brangus,Alta Genetics,Mariana Oliveira,IATF 4153,0,0,1
Fazenda da Serra,RJ,Rio de Janeiro,300154,LT1004PA,Brangus,Primípara,3.1,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,eCGEN,200 UI,Touro5154,Charolais,CRV Lagoa,Ricardo Santos,IATF 4154,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300155,LT1005ES,Charolais,Multípara,3.3,1,8 dias,CIDR,Bayer,0,1,1,Repro one,0.6 mg,eCGEN,300 UI,Touro5155,Senepol,Alta Genetics,Ana Maria,IATF 4155,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300156,LT1006SN,Senepol,Primípara precoce,3.5,0,9 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Novormon,200 UI,Touro5156,Brahman,CRV Lagoa,Patrícia Nunes,IATF 4156,1,1,0
Fazenda Verde Vale,MG,Curitiba,300157,LT1007BV,Brahman,Secundípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5157,Angus,Alta Genetics,Mariana Oliveira,IATF 4157,0,0,1
Fazenda Esperança,RJ,Niterói,300158,LT1008DF,Canchim,Primípara,3.9,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5158,Hereford,ABS Pecplan,Ricardo Santos,IATF 4158,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300159,LT1009PA,Simmental,Multípara,2.1,1,7 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5159,Brangus,CRV Lagoa,Joana Mendes,IATF 4159,0,0,1
Fazenda da Serra,MG,Vitória,300160,LT1010ES,Limousin,Primípara precoce,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5160,Hereford,Alta Genetics,Carlos Silva,IATF 4160,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300161,LT1011SN,Angus,Secundípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5161,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4161,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300162,LT1012BV,Nelore,Primípara,3.1,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Novormon,200 UI,Touro5162,Hereford,Alta Genetics,Carlos Silva,IATF 4162,1,1,0
Fazenda Verde Vale,MG,Curitiba,300163,LT1013DF,Hereford,Multípara,3.3,1,8 dias,Primer monodose,Agener,0,1,1,Repro one,0.6 mg,eCGEN,300 UI,Touro5163,Brangus,CRV Lagoa,Mariana Oliveira,IATF 4163,0,0,1
Fazenda Esperança,RJ,Niterói,300164,LT1014PA,Brangus,Primípara precoce,3.5,0,9 dias,CIDR,Bayer,1,0,2,Estrumate,0.5 mg,Novormon,200 UI,Touro5164,Charolais,Alta Genetics,Joana Mendes,IATF 4164,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300165,LT1015ES,Charolais,Primípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5165,Senepol,CRV Lagoa,Carlos Silva,IATF 4165,0,0,1
Fazenda da Serra,MG,Vitória,300166,LT1016SN,Senepol,Multípara,3.9,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5166,Brahman,Alta Genetics,Mariana Oliveira,IATF 4166,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300167,LT1017BV,Brahman,Secundípara,2.1,1,9 dias,Fertilcare 600,MSD,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5167,Angus,CRV Lagoa,Joana Mendes,IATF 4167,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300168,LT1018DF,Angus,Primípara precoce,2.3,0,7 dias,Repro one,Globalgen,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5168,Nelore,Alta Genetics,Carlos Silva,IATF 4168,1,1,0
Fazenda Verde Vale,MG,Curitiba,300169,LT1019PA,Nelore,Multípara,2.7,1,8 dias,CIDR,Bayer,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5169,Hereford,CRV Lagoa,Mariana Oliveira,IATF 4169,0,0,1
Fazenda Esperança,RJ,Niterói,300170,LT1020ES,Hereford,Primípara,3.1,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.5 mg,Novormon,200 UI,Touro5170,Brangus,Alta Genetics,Carlos Silva,IATF 4170,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300171,LT1021SN,Brangus,Multípara,3.3,1,7 dias,Repro one,Globalgen,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5171,Charolais,CRV Lagoa,Joana Mendes,IATF 4171,0,0,1
Fazenda da Serra,MG,Vitória,300172,LT1022BV,Charolais,Primípara precoce,3.5,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5172,Senepol,Alta Genetics,Carlos Silva,IATF 4172,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300173,LT1023DF,Senepol,Multípara,3.7,1,9 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5173,Brahman,CRV Lagoa,Mariana Oliveira,IATF 4173,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300174,LT1024PA,Brahman,Primípara,3.9,0,7 dias,CIDR,Bayer,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5174,Angus,Alta Genetics,Joana Mendes,IATF 4174,1,1,0
Fazenda Verde Vale,MG,Curitiba,300175,LT1025ES,Angus,Multípara,2.1,1,8 dias,Repro one,Globalgen,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5175,Nelore,CRV Lagoa,Carlos Silva,IATF 4175,0,0,1
Fazenda Esperança,RJ,Niterói,300176,LT1026SN,Nelore,Primípara precoce,2.3,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5176,Hereford,Alta Genetics,Mariana Oliveira,IATF 4176,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300177,LT1027BV,Hereford,Multípara,2.7,1,7 dias,Fertilcare 600,MSD,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5177,Brangus,CRV Lagoa,Joana Mendes,IATF 4177,0,0,1
Fazenda da Serra,MG,Vitória,300178,LT1028DF,Brangus,Primípara,3.1,0,8 dias,Repro one,Globalgen,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5178,Charolais,Alta Genetics,Carlos Silva,IATF 4178,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300179,LT1029PA,Charolais,Multípara,3.3,1,9 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5179,Senepol,CRV Lagoa,Mariana Oliveira,IATF 4179,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300180,LT1030ES,Senepol,Primípara precoce,3.5,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5180,Brahman,Alta Genetics,Carlos Silva,IATF 4180,1,1,0
Fazenda Verde Vale,MG,Curitiba,300181,LT1031SN,Brahman,Multípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5181,Angus,CRV Lagoa,Mariana Oliveira,IATF 4181,0,0,1
Fazenda Esperança,RJ,Niterói,300182,LT1032BV,Canchim,Primípara,3.9,0,9 dias,Fertilcare 600,MSD,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5182,Nelore,Alta Genetics,Joana Mendes,IATF 4182,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300183,LT1033DF,Simmental,Multípara,2.1,1,7 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5183,Hereford,CRV Lagoa,Carlos Silva,IATF 4183,0,0,1
Fazenda da Serra,MG,Vitória,300184,LT1034PA,Limousin,Primípara precoce,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5184,Brangus,Alta Genetics,Mariana Oliveira,IATF 4184,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300185,LT1035ES,Angus,Multípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5185,Charolais,CRV Lagoa,Joana Mendes,IATF 4185,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300186,LT1036SN,Nelore,Primípara,3.1,0,7 dias,Fertilcare 600,MSD,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5186,Senepol,Alta Genetics,Carlos Silva,IATF 4186,1,1,0
Fazenda Verde Vale,MG,Curitiba,300187,LT1037BV,Hereford,Multípara,3.3,1,8 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5187,Brahman,CRV Lagoa,Mariana Oliveira,IATF 4187,0,0,1
Fazenda Esperança,RJ,Niterói,300188,LT1038DF,Brangus,Primípara precoce,3.5,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5188,Angus,Alta Genetics,Joana Mendes,IATF 4188,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300189,LT1039PA,Charolais,Multípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5189,Nelore,CRV Lagoa,Carlos Silva,IATF 4189,0,0,1
Fazenda da Serra,MG,Vitória,300190,LT1040ES,Senepol,Primípara,3.9,0,8 dias,Fertilcare 600,MSD,1,0,2,Primer monodose,0.6 mg,eCGEN,200 UI,Touro5190,Hereford,Alta Genetics,Mariana Oliveira,IATF 4190,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300191,LT1041SN,Brahman,Multípara,2.1,1,9 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5191,Brangus,CRV Lagoa,Joana Mendes,IATF 4191,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300192,LT1042BV,Angus,Primípara precoce,2.3,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5192,Nelore,Alta Genetics,Carlos Silva,IATF 4192,1,1,0
Fazenda Verde Vale,MG,Curitiba,300193,LT1043DF,Nelore,Multípara,2.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5193,Hereford,CRV Lagoa,Mariana Oliveira,IATF 4193,0,0,1
Fazenda Esperança,RJ,Niterói,300194,LT1044PA,Hereford,Primípara,3.1,0,9 dias,Fertilcare 600,MSD,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5194,Brangus,Alta Genetics,Joana Mendes,IATF 4194,1,1,0
Fazenda Santa Luzia,SP,Florianópolis,300195,LT1045ES,Brangus,Multípara,3.3,1,7 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5195,Charolais,CRV Lagoa,Carlos Silva,IATF 4195,0,0,1
Fazenda da Serra,MG,Vitória,300196,LT1046SN,Charolais,Primípara precoce,3.5,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5196,Senepol,Alta Genetics,Mariana Oliveira,IATF 4196,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300197,LT1047BV,Senepol,Multípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5197,Brahman,CRV Lagoa,Joana Mendes,IATF 4197,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300198,LT1048DF,Brahman,Primípara,3.9,0,7 dias,Fertilcare 600,MSD,1,0,2,Primer monodose,0.5 mg,Novormon,300 UI,Touro5198,Angus,Alta Genetics,Carlos Silva,IATF 4198,1,1,0
Fazenda Verde Vale,MG,Curitiba,300199,LT1049PA,Angus,Multípara,2.1,1,8 dias,Repro one,Globalgen,0,1,1,Lutalise,0.5 mg,Novormon,300 UI,Touro5199,Nelore,CRV Lagoa,Mariana Oliveira,IATF 4199,0,0,1
Fazenda Esperança,RJ,Niterói,300200,LT1050ES,Limousin,Primípara precoce,3.5,0,9 dias,Primer monodose,MSD,1,0,2,Estrumate,0.6 mg,Folligon,200 UI,Touro5200,Senepol,ABS Pecplan,Mariana Oliveira,IATF 4200,1,1,0
Fazenda Jardim,BA,Rio de Janeiro,300201,LT1101SN,Brangus,Primípara precoce,3.1,1,7 dias,Fertilcare 600,MSD,0,1,2,Primer monodose,0.5 mg,Folligon,300 UI,Touro5201,Charolais,ABS Pecplan,Ricardo Santos,IATF 4201,0,0,1
Fazenda Monte Alegre,SP,Florianópolis,300202,LT1102BV,Charolais,Primípara,3.3,0,8 dias,CIDR,Bayer,1,0,1,Repro one,0.6 mg,eCGEN,200 UI,Touro5202,Senepol,CRV Lagoa,Joana Mendes,IATF 4202,1,1,0
Fazenda do Campo,MG,Uberlândia,300203,LT1103DF,Senepol,Multípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5203,Brahman,Alta Genetics,Carlos Silva,IATF 4203,0,0,1
